Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
"N6,N6,N6-trimethyllysine",,,,,,,,0
N-acetylputrescine,N-Acetylputrescine,HMDB0002064,122356,17768,C02714,3252,CC(=O)NCCCCN,1
N-formylmethionine,,,,,,,,0
S-adenosylhomocysteine (SAH),,,,,,,,0
"adenosine 3',5'-cyclic monophosphate (cAMP)",,,,,,,,0
adenosine 5'-monophosphate (AMP),,,,,,,,0
5-methylthioadenosine (MTA),,,,,,,,0
arachidote (20:4n6),,,,,,,,0
arginine,L-Arginine,HMDB0000517,6322,16467,C00062,5502,C(C[C@@H](C(=O)O)N)CN=C(N)N,1
aspartate,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,C([C@@H](C(=O)O)N)C(=O)O,1
2-hydroxyphenylacetate,Ortho-Hydroxyphenylacetic acid,HMDB0000669,11970,28478,C05852,5639,C1=CC=C(C(=C1)CC(=O)O)O,1
3-(4-hydroxyphenyl)lactate,Hydroxyphenyllactic acid,HMDB0000755,9378,17385,C03672,5723,C1=CC(=CC=C1CC(C(=O)O)O)O,1
phenylpyruvate,Phenylpyruvic acid,HMDB0000205,997,30851,C00166,328,C1=CC=C(C=C1)CC(=O)C(=O)O,1
beta-alanine,Beta-Alanine,HMDB0000056,239,16958,C00099,5119,C(CN)C(=O)O,1
carnosine,Carnosine,HMDB0000033,439224,15727,C00386,38,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN,1
biliverdin,Biliverdin,HMDB0001008,5353439,17033,C00500,5938,CC\1=C(/C(=C/C2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/N/C1=C/C4=NC(=O)C(=C4C)C=C)CCC(=O)O,1
succite,Succinic acid,HMDB0000254,1110,15741,C00042,114,C(CC(=O)O)C(=O)O,1
3-hydroxybutyrate (BHBA),,,,,,,,0
cholesterol,Cholesterol,HMDB0000067,5997,1307929,C00187,163,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C,1
choline phosphate,Phosphorylcholine,HMDB0001565,8691,18132,C00588,6326,C[N+](C)(C)CCOP(=O)(O)O,1
corticosterone,Corticosterone,HMDB0001547,5753,16827,C02140,6314,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,1
cortisone,Cortisone,HMDB0002802,225609,16962,C00762,271,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,1
creatinine,Creatinine,HMDB0000562,588,16737,C00791,8,CN1CC(=O)N=C1N,1
cysteinylglycine,Cysteinylglycine,HMDB0000078,439498,4047,C01419,5134,C([C@@H](C(=O)NCC(=O)O)N)S,1
cystine,L-Cystine,HMDB0000192,67678,16283,C00491,5207,C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N,1
sphingosine,Sphingosine,HMDB0000252,5353955,16393,C00319,392,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,1
deoxycholate,Deoxycholic acid,HMDB0000626,222528,28834,C04483,265,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
cystathionine,L-Cystathionine,HMDB0000099,439258,17482,C02291,39,C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N,1
sphinganine,Sphinganine,HMDB0000269,91486,16566,C00836,5268,CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O,1
flavin adenine dinucleotide (FAD),,,,,,,,0
fumarate,Fumaric acid,HMDB0000134,444972,18012,C00122,3242,C(=C/C(=O)O)\C(=O)O,1
gamma-glutamylglutamate,gamma-Glutamylglutamic acid,HMDB0011737,92865,,C05282,,C(CC(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C(=O)O)N,1
glucote,Gluconic acid,HMDB0000625,10690,33198,C00257,345,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,1
glutarate (C5-DC),,,,,,,,0
glycine,Glycine,HMDB0000123,750,15428,C00037,20,C(C(=O)O)N,1
glycocholate,Glycocholic acid,HMDB0000138,23617285,29746,C01921,5169,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)O)C,1
guanidinoacetate,Guanidoacetic acid,HMDB0000128,763,16344,C00581,5163,C(C(=O)O)N=C(N)N,1
histidine,L-Histidine,HMDB0000177,6274,15971,C00135,21,C1=C(NC=N1)C[C@@H](C(=O)O)N,1
cortisol,Cortisol,HMDB0000063,657311,,C00735,5124,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O,1
hypotaurine,Hypotaurine,HMDB0000965,107812,16668,C00519,281,C(CS(=O)O)N,1
inosine,Inosine,HMDB0000195,6021,17596,C00294,84,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,1
myo-inositol,myo-Inositol,HMDB0000211,,17268,C00137,5221,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,1
isoleucine,L-Isoleucine,HMDB0000172,6306,17191,C00407,5193,CC[C@H](C)[C@@H](C(=O)O)N,1
2-aminoadipate,Aminoadipic acid,HMDB0000510,469,37024,C00956,5496,C(CC(C(=O)O)N)CC(=O)O,1
citrulline,Citrulline,HMDB0000904,9750,16349,C00327,16,C(C[C@@H](C(=O)O)N)CNC(=O)N,1
lactose,Alpha-Lactose,HMDB0000186,84571,36219,C00243,267,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,1
leucine,L-Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@@H](C(=O)O)N,1
lysine,L-Lysine,HMDB0000182,5962,18019,C00047,5200,C(CCN)C[C@@H](C(=O)O)N,1
malate,L-Malic acid,HMDB0000156,222656,30797,C00149,,C([C@@H](C(=O)O)O)C(=O)O,1
methionine,L-Methionine,HMDB0000696,6137,16643,C00073,5664,CSCC[C@@H](C(=O)O)N,1
palmitate (16:0),,,,,,,,0
nicotimide,Niacimide,HMDB0001406,936,17154,C00153,1497,C1=CC(=CN=C1)C(=O)N,1
stearate (18:0),,,,,,,,0
ornithine,Ornithine,HMDB0000214,6262,15729,C00077,27,C(C[C@@H](C(=O)O)N)CN,1
orotate,Orotic acid,HMDB0000226,967,16742,C00295,318,C1=C(NC(=O)NC1=O)C(=O)O,1
palmitoleate (16:1n7),,,,,,,,0
phenylalanine,L-Phenylalanine,HMDB0000159,6140,17295,C00079,28,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,1
phosphate,Phosphate,HMDB0001429,57424078,18367,C00009,3231,[O-]P(=O)([O-])[O-],1
proline,L-Proline,HMDB0000162,145742,17203,C00148,29,C1C[C@H](NC1)C(=O)O,1
lactate,L-Lactic acid,HMDB0000190,61503,422,C00256,5205,C[C@@H](C(=O)O)O,1
pyridoxal,Pyridoxal,HMDB0001545,1050,17310,C00250,6312,CC1=NC=C(C(=C1O)C=O)CO,1
retinol (Vitamin A),,,,,,,,0
salicylate,Salicyluric acid,HMDB0000840,10253,9008,C07588,617,C1=CC=C(C(=C1)C(=O)NCC(=O)O)O,1
serine,L-Serine,HMDB0000187,5951,17115,C00065,5203,C([C@@H](C(=O)O)N)O,1
serotonin,Serotonin,HMDB0000259,5202,28790,C00780,74,C1=CC2=C(C=C1O)C(=CN2)CCN,1
taurine,Taurine,HMDB0000251,1123,15891,C00245,31,C(CS(=O)(=O)O)N,1
myristate (14:0),,,,,,,,0
urea,Urea,HMDB0000294,2447,16199,C00086,6,C(=O)(N)N,1
uridine,Uridine,HMDB0000296,6029,16704,C00299,90,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,1
trans-urocate,Trans-urocate,HMDB0062562,1178,27248,,,OC(=O)C=CC1=CN=CN1,1
glutamate,L-Glutamic acid,HMDB0000148,33032,16015,C00025,5174,C(CC(=O)O)[C@@H](C(=O)O)N,1
glutamine,L-Glutamine,HMDB0000641,5961,18050,C00064,5614,C(CC(=O)N)[C@@H](C(=O)O)N,1
threonine,L-Threonine,HMDB0000167,6288,16857,C00188,32,C[C@H]([C@@H](C(=O)O)N)O,1
tryptophan,L-Tryptophan,HMDB0000929,6305,16828,C00078,5879,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,1
valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@@H](C(=O)O)N,1
nicotite,Nicotinic acid,HMDB0001488,938,15940,C00253,6272,C1=CC(=CN=C1)C(=O)O,1
glucose,D-Glucose,HMDB0000122,5793,4167,C00031,133,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,1
alpha-ketobutyrate,2-Ketobutyric acid,HMDB0000005,58,30831,C00109,,CCC(=O)C(=O)O,1
adenosine,Adenosine,HMDB0000050,60961,16335,C00212,86,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,1
betaine,Betaine,HMDB0000043,247,17750,C00719,287,C[N+](C)(C)CC(=O)[O-],1
cysteine,L-Cysteine,HMDB0000574,5862,17561,C00097,5556,C([C@@H](C(=O)O)N)S,1
mannose,D-Mannose,HMDB0000169,18950,4208,C00159,,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,1
dimethylglycine,Dimethylglycine,HMDB0000092,673,17724,C01026,277,CN(C)CC(=O)O,1
alanine,L-Alanine,HMDB0000161,5950,16977,C00041,,C[C@@H](C(=O)O)N,1
tyrosine,L-Tyrosine,HMDB0000158,6057,17895,C00082,34,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,1
pseudouridine,Pseudouridine,HMDB0000767,15047,17802,C02067,5734,C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,1
pyruvate,Pyruvic acid,HMDB0000243,1060,32816,C00022,117,CC(=O)C(=O)O,1
uracil,Uracil,HMDB0000300,1174,17568,C00106,258,C1=CNC(=O)NC1=O,1
xylose,D-Xylose,HMDB0000098,135191,53455,C00181,314,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,1
cytidine,Cytidine,HMDB0000089,6253,17562,C02961,3376,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,1
cotinine,Cotinine,HMDB0001046,408,127762,,1531,CN1C(CCC1=O)C2=CN=CC=C2,1
caffeine,Caffeine,HMDB0001847,2519,27732,C07481,1455,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,1
fructose,D-Fructose,HMDB0000660,439709,28645,C02336,135,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,1
adenine,Adenine,HMDB0000034,190,16708,C00147,85,C1=NC2=C(N1)C(=NC=N2)N,1
cytosine,Cytosine,HMDB0000630,597,16040,C00380,283,C1=C(NC(=O)N=C1)N,1
caprate (10:0),,,,,,,,0
margarate (17:0),,,,,,,,0
nodecanoate (19:0),,,,,,,,0
arachidate (20:0),,,,,,,,0
maltose,D-Maltose,HMDB0000163,10991489,47937,C00208,413,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O,1
asparagine,L-Asparagine,HMDB0000168,6267,17196,C00152,14,C([C@@H](C(=O)O)N)C(=O)N,1
N-stearoyl-sphinganine (d18:0/18:0),,,,,,,,0
dihydroorotate,"4,5-Dihydroorotic acid",HMDB0000528,648,30865,C00337,5513,C1C(NC(=O)NC1=O)C(=O)O,1
caproate (6:0),,,,,,,,0
caprylate (8:0),,,,,,,,0
pentadecanoate (15:0),,,,,,,,0
trans-4-hydroxyproline,4-Hydroxyproline,HMDB0000725,5810,18095,C01157,257,C1[C@H](CN[C@@H]1C(=O)O)O,1
allantoin,Allantoin,HMDB0000462,204,15676,C01551,89,C1(C(=O)NC(=O)N1)NC(=O)N,1
xanthine,Xanthine,HMDB0000292,1188,17712,C00385,82,C1=NC2=C(N1)C(=O)NC(=O)N2,1
5-oxoproline,Pyroglutamic acid,HMDB0000267,7405,18183,C01879,3251,C1CC(=O)N[C@@H]1C(=O)O,1
picolite,Picolinic acid,HMDB0002243,1018,28747,C10164,,C1=CC=NC(=C1)C(=O)O,1
sarcosine,Sarcosine,HMDB0000271,1088,15611,C00213,51,CNCC(=O)O,1
pantothete,Pantothenic acid,HMDB0000210,6613,7916,C00864,241,CC(C)(CO)C(C(=O)NCCC(=O)O)O,1
pipecolate,Pipecolic acid,HMDB0000070,849,17964,C00408,50,C1CCNC(C1)C(=O)O,1
phosphoethanolamine,O-Phosphoethanolamine,HMDB0000224,1015,17553,C00346,5233,C(COP(=O)(O)O)N,1
glycerate,Glyceric acid,HMDB0000139,439194,32398,C00258,280,C([C@H](C(=O)O)O)O,1
3-ureidopropiote,Ureidopropionic acid,HMDB0000026,111,18261,C02642,5097,C(CNC(=O)N)C(=O)O,1
N-acetylleucine,N-Acetylleucine,HMDB0011756,70912,17786,C02710,,CC(C)C[C@@H](C(=O)O)NC(=O)C,1
N-acetylmethionine,N-Acetyl-L-methionine,HMDB0011745,6180,165927,C02712,,CC(=O)NC(CCSC)C(=O)O,1
N-acetylvaline,N-Acetylvaline,HMDB0011757,227752,,,,CC(C)C(C(=O)O)NC(=O)C,1
erucate (22:1n9),,,,,,,,0
"bilirubin (Z,Z)",,,,,,,,0
thyroxine,Thyroxine,HMDB0000248,5819,18332,C01829,439,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,1
gamma-glutamyltyrosine,gamma-Glutamyltyrosine,HMDB0011741,94340,82969,,,C1=CC(=CC=C1C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O,1
methyl indole-3-acetate,Indole-3-methyl acetate,HMDB0029738,74706,72782,,,COC(=O)CC1=CNC2=CC=CC=C21,1
alpha-tocopherol,Alpha-Tocopherol,HMDB0001893,14985,18145,C02477,6376,CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O,1
N-acetylalanine,N-Acetyl-L-alanine,HMDB0000766,88064,40992,,5733,C[C@@H](C(=O)O)NC(=O)C,1
vanillylmandelate (VMA),,,,,,,,0
4-acetamidobutanoate,4-Acetamidobutanoic acid,HMDB0003681,18189,17645,C02946,,CC(=O)NCCCC(=O)O,1
3-aminoisobutyrate,3-Aminoisobutanoic acid,HMDB0003911,64956,27389,C05145,5472,CC(CN)C(=O)O,1
citrate,Citric acid,HMDB0000094,311,30769,C00158,124,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1
2-aminobutyrate,L-Alpha-aminobutyric acid,HMDB0000452,80283,35619,C02356,12,CC[C@@H](C(=O)O)N,1
urate,Uric acid,HMDB0000289,1175,17775,C00366,88,C12=C(NC(=O)N1)NC(=O)NC2=O,1
ursodeoxycholate,Ursodeoxycholic acid,HMDB0000946,31401,9907,C07880,5893,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
oleoyl ethanolamide,,,,,,,,0
gamma-glutamylglutamine,N2-gamma-Glutamylglutamine,HMDB0011738,150914,73707,C05283,,C(CC(=O)N[C@@H](CCC(=O)N)C(=O)O)[C@@H](C(=O)O)N,1
4-hydroxyphenylpyruvate,4-Hydroxyphenylpyruvic acid,HMDB0000707,979,15999,C01179,5675,C1=CC(=CC=C1CC(=O)C(=O)O)O,1
butyrate/isobutyrate (4:0),,,,,,,,0
tigloylglycine,,,,,,,,0
N-acetylneuramite,N-Acetylneuramite,,3568,17012,C00270,,,1
N-acetylglucosaminylasparagine,Aspartylglycosamine,HMDB0000489,123826,17261,C04540,5476,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1NC(=O)C[C@@H](C(=O)O)N)CO)O)O,1
acetoacetate,Acetoacetic acid,HMDB0000060,96,15344,C00164,276,CC(=O)CC(=O)O,1
creatine,Creatine,HMDB0000064,586,16919,C00300,7,CN(CC(=O)O)C(=N)N,1
"cys-gly, oxidized",,,,,,,,0
estrone 3-sulfate,Estrone sulfate,HMDB0001425,3001028,17474,C02538,3556,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,1
dihomo-linoleate (20:2n6),,,,,,,,0
gamma-glutamylhistidine,gamma-Glutamylhistidine,HMDB0029151,7017195,133032,,,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N,1
2-hydroxystearate,Hydroferulic acid,HMDB0062121,14340,86612,,,COC1=C(O)C=CC(CCC(O)=O)=C1,1
N1-methyladenosine,1-Methyladenosine,HMDB0003331,27476,16020,C02494,6888,CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,1
glycerol,Glycerol,HMDB0000131,753,17522,C00116,105,C(C(CO)O)O,1
choline,Choline,HMDB0000097,305,15354,C00114,56,C[N+](C)(C)CCO,1
gamma-glutamylleucine,gamma-Glutamylleucine,HMDB0011171,4524287,68433,,,CC(C)C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N,1
3-methoxytyrosine,3-Methoxytyrosine,HMDB0001434,1670,,,,COC1=C(C=CC(=C1)CC(C(=O)O)N)O,1
fluoxetine,Fluoxetine,HMDB0014615,3386,5118,,,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,1
4-acetamidophenol,Acetaminophen,HMDB0001859,1983,46195,C06804,6353,CC(=O)NC1=CC=C(C=C1)O,1
proxen,proxen,HMDB0001923,156391,7476,C01517,1461,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,1
beta-hydroxyisovalerate,3-Hydroxyisovaleric acid,HMDB0000754,69362,37084,C20827,5722,CC(C)(CC(=O)O)O,1
ibuprofen,Ibuprofen,HMDB0001925,3672,5855,C01588,572,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1
arachidonoyl ethanolamide,Andamide,HMDB0004080,5281969,2700,C11695,,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,1
palmitoyl ethanolamide,Palmitoylethanolamide,HMDB0002100,4671,147261,C16512,,CCCCCCCCCCCCCCCC(=O)NCCO,1
N-palmitoyl-sphingosine (d18:1/16:0),,,,,,,,0
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),,,,,,,,0
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),,,,,,,,0
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"PC(16:0/18:2(9Z,12Z))",HMDB0007973,5287971,,C00157,,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,1
stearoyl sphingomyelin (d18:1/18:0),,,,,,,,0
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),,,,,,,,0
N-stearoyl-sphingosine (d18:1/18:0),,,,,,,,0
glycochenodeoxycholate,Chenodeoxycholic acid glycine conjugate,HMDB0000637,22833540,,C05466,5610,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1(CCC3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
taurochenodeoxycholate,Taurochenodesoxycholic acid,HMDB0000951,387316,16525,C05465,5897,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
taurocholate,Taurocholic acid,HMDB0000036,6675,28865,C05122,5104,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1([C@H](CC3C2[C@@H](C[C@H]4C3(CC[C@H](C4)O)C)O)O)C,1
taurodeoxycholate,Taurodeoxycholic acid,HMDB0000896,2733768,9410,C05463,5853,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
2-hydroxyhippurate (salicylurate),,,,,,,,0
metoprolol,Metoprolol,HMDB0001932,4171,6904,C07202,1250,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,1
3-(N-acetyl-L-cystein-S-yl) acetaminophen,,,,,,,,0
4-acetaminophen sulfate,L-Xylote,HMDB0060256,6971043,48092,C05411,,OC[C@H](O)[C@@H](O)[C@H](O)C(O)=O,1
eicosapentaenoate (EPA; 20:5n3),,,,,,,,0
methylsuccite,Methylsuccinic acid,HMDB0001844,10349,29003,C08645,6344,CC(CC(=O)O)C(=O)O,1
ethylmalote,Ethylmalonic acid,HMDB0000622,11756,741548,,4180,CCC(C(=O)O)C(=O)O,1
carnitine,L-Carnitine,HMDB0000062,2724480,11060,C00318,52,C[N+](C)(C)C[C@H](CC(=O)[O-])O,1
benzoate,Benzoic acid,HMDB0001870,243,30746,C00539,1297,C1=CC=C(C=C1)C(=O)O,1
3-phenylpropiote (hydrocinmate),,,,,,,,0
phenylacetate,Phenylacetic acid,HMDB0000209,999,30745,C07086,129,C1=CC=C(C=C1)CC(=O)O,1
hippurate,Hippuric acid,HMDB0000714,464,18089,C01586,1301,C1=CC=C(C=C1)C(=O)NCC(=O)O,1
xanthurete,Xanthurenic acid,HMDB0000881,5699,217069,C02470,5841,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O,1
suberate (C8-DC),,,,,,,,0
3-methyl-2-oxovalerate,3-Methyl-2-oxovaleric acid,HMDB0000491,47,35932,C03465,5478,CCC(C)C(=O)C(=O)O,1
methionine sulfoxide,Methionine sulfoxide,HMDB0002005,847,49033,C02989,6428,CS(=O)CCC(C(=O)O)N,1
3-methylhistidine,3-Methylhistidine,HMDB0000479,64969,27596,C01152,5466,CN1C=NC=C1C[C@@H](C(=O)O)N,1
4-acetamidophenylglucuronide,,,,,,,,0
5-hydroxylysine,5-Hydroxylysine,HMDB0000450,4433,18040,C16741,5439,C(C[C@@H](C(=O)O)N)[C@H](CN)O,1
4-guanidinobutanoate,4-Guanidinobutanoic acid,HMDB0003464,500,15728,C01035,6938,C(CC(=O)O)CN=C(N)N,1
glucurote,D-Glucuronic acid,HMDB0000127,94715,42717,C00191,161,[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O,1
glycerol 3-phosphate,Glycerol 3-phosphate,HMDB0000126,439162,15978,C00093,5161,C([C@H](COP(=O)(O)O)O)O,1
imidazole lactate,Imidazole lactate,METPA0616,,,C05568,,,1
kynurenine,L-Kynurenine,HMDB0000684,161166,16946,C00328,72,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,1
glycerophosphorylcholine (GPC),,,,,,,,0
maltotriose,Maltotriose,HMDB0001262,439586,27931,C01835,3585,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,1
N-acetylglutamate,N-Acetylglutamic acid,HMDB0001138,185,12575,C00624,6031,CC(=O)NC(CCC(=O)O)C(=O)O,1
N-alpha-acetylornithine,,,,,,,,0
tartarate,D-Glyceraldehyde 3-phosphate,,3418,29052,C00118,,,1
xanthosine,Xanthosine,HMDB0000299,64959,18107,C01762,3408,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,1
ribitol,Ribitol,HMDB0000508,,15963,C00474,316,OC[C@H](O)[C@H](O)[C@H](O)CO,1
glycodeoxycholate,Deoxycholic acid glycine conjugate,HMDB0000631,3035026,27471,C05464 ,5604,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1([C@H](CC3C2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
theophylline,Theophylline,HMDB0001889,2153,28177,C07130,1458,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1
quite,Quinic acid,HMDB0003072,6508,17521,C00296,3329,OC1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,1
theobromine,Theobromine,HMDB0002825,5429,28946,C07480,1456,CN1C=NC2=C1C(=O)NC(=O)N2C,1
gentisate,Gentisic acid,HMDB0000152,3469,17189,C00628,618,C1=CC(=C(C=C1O)C(=O)O)O,1
paraxanthine,Paraxanthine,HMDB0001860,4687,25858,C13747,1457,CN1C=NC2=C1C(=O)N(C(=O)N2)C,1
indolelactate,Indolelactic acid,HMDB0000671,92904,24813,C02043,5641,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O,1
